"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","name","email","phone.number","credit_card"
"City Hotel",1,482,2016,"November",45,3,0,1,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",51.4,0,0,"Canceled","2015-10-21","Christopher Cantu","Christopher_C@att.com","287-446-1125","************3287"
"Resort Hotel",0,4,2017,"April",17,29,1,1,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","B",1,"No Deposit",240,NA,0,"Transient",126,0,2,"Check-Out","2017-05-01","Harry Long","Harry.Long@mail.com","294-585-7112","************6701"
"City Hotel",0,143,2016,"August",36,31,1,4,2,0,0,"BB","NOR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",101.31,0,1,"Check-Out","2016-09-05","Jerry Brown","Brown.Jerry@hotmail.com","888-006-9053","************3680"
"City Hotel",0,13,2017,"April",16,19,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,11,"A","D",0,"No Deposit",NA,219,0,"Transient",95,0,1,"Check-Out","2017-04-20","Amanda Miller","Amanda.M@outlook.com","270-915-9171","************7406"
"City Hotel",0,41,2017,"January",1,5,1,3,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",68.07,0,1,"Check-Out","2017-01-09","Nichole Camacho","Nichole_Camacho@comcast.net","539-141-3872","************5820"
"City Hotel",1,56,2016,"June",24,8,0,1,2,0,0,"BB","PRT","Offline TA/TO","Corporate",0,0,0,"A","A",0,"No Deposit",191,NA,0,"Transient-Party",120,0,0,"Canceled","2016-06-02","Ms. Danielle Harris","Ms..Harris@zoho.com","411-659-2220","************2044"
"City Hotel",0,29,2016,"August",33,8,1,0,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",139,0,1,"Check-Out","2016-08-09","David Smith","David.Smith67@zoho.com","725-556-5578","************9345"
"City Hotel",0,2,2016,"May",20,11,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","D",0,"No Deposit",NA,219,0,"Transient",89,1,1,"Check-Out","2016-05-12","Cindy Saunders","Saunders.Cindy@yahoo.com","163-613-9274","************1477"
"Resort Hotel",0,84,2017,"February",7,14,0,5,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",73.2,0,1,"Check-Out","2017-02-19","Kristen Bowman","Bowman_Kristen@xfinity.com","287-971-7342","************2178"
"City Hotel",0,14,2015,"October",42,15,0,2,1,0,0,"BB","IRQ","Offline TA/TO","TA/TO",0,0,0,"A","A",2,"No Deposit",99,NA,0,"Transient-Party",100,0,0,"Check-Out","2015-10-17","Jaime Baird","JaimeBaird@protonmail.com","587-112-7674","************9077"
"Resort Hotel",0,59,2017,"June",22,3,2,2,2,0,0,"BB","CN","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit",241,NA,0,"Transient",152,0,1,"Check-Out","2017-06-07","Jessica Carroll","Jessica_C@outlook.com","409-267-6305","************6025"
"City Hotel",0,148,2015,"September",37,11,0,2,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient-Party",93.5,0,1,"Check-Out","2015-09-13","Jason Moore","JasonMoore@att.com","622-110-6489","************7668"
"City Hotel",0,256,2016,"August",33,7,2,2,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"B","A",0,"No Deposit",9,NA,0,"Transient-Party",96.25,0,1,"Check-Out","2016-08-11","Andrew Curtis","ACurtis88@gmail.com","826-320-6886","************7903"
"City Hotel",0,30,2017,"August",34,25,0,2,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",7,NA,0,"Transient",145,0,1,"Check-Out","2017-08-27","Steven Villanueva","Villanueva.Steven35@gmail.com","811-598-5296","************9196"
"City Hotel",0,150,2017,"August",31,2,0,1,2,2,0,"BB","ISR","Online TA","TA/TO",0,0,0,"F","F",1,"No Deposit",9,NA,0,"Transient-Party",244,0,0,"Check-Out","2017-08-03","Mark Ruiz","Mark_Ruiz40@att.com","291-568-7211","************3662"
"Resort Hotel",0,51,2016,"August",33,9,1,5,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",221,1,1,"Check-Out","2016-08-15","Shannon Robbins","Shannon_Robbins93@xfinity.com","880-338-7669","************2602"
"Resort Hotel",0,7,2016,"October",41,5,1,4,2,0,1,"BB","GBR","Groups","Corporate",0,0,0,"A","A",1,"No Deposit",NA,405,0,"Transient-Party",50,0,2,"Check-Out","2016-10-10","Laura Beltran","Beltran_Laura93@outlook.com","465-480-0372","************1283"
"City Hotel",0,151,2016,"January",4,19,0,2,1,0,0,"BB","TUR","Offline TA/TO","TA/TO",0,0,0,"A","A",2,"No Deposit",19,NA,63,"Transient-Party",71,0,0,"Check-Out","2016-01-21","Peter Ward","Peter.W@zoho.com","526-143-0986","************1051"
"City Hotel",1,351,2015,"October",40,3,2,2,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"No Deposit",1,NA,0,"Transient-Party",62,0,0,"Canceled","2015-07-06","Cameron Nichols","Cameron_N93@verizon.com","257-794-6036","************4991"
"Resort Hotel",0,119,2015,"September",39,25,2,6,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit",241,NA,0,"Transient",85.5,1,1,"Check-Out","2015-10-03","Jeffery Lyons","Jeffery.Lyons@zoho.com","378-186-8437","************3220"
"City Hotel",0,2,2016,"January",5,27,0,1,2,0,0,"BB","SWE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",102,1,1,"Check-Out","2016-01-28","Brian Martinez","Brian.M@comcast.net","676-533-9066","************3749"
"City Hotel",0,111,2017,"April",14,3,1,1,2,0,0,"BB","ISR","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",37,NA,0,"Transient-Party",95,0,1,"Check-Out","2017-04-05","Jordan Grant","JGrant@gmail.com","573-291-3571","************2100"
"City Hotel",0,69,2016,"March",13,24,1,3,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",138,NA,0,"Transient",59.5,0,0,"Check-Out","2016-03-28","Amy Williams","Williams.Amy@mail.com","472-454-6435","************4966"
"City Hotel",1,255,2017,"May",21,27,2,1,2,0,0,"SC","SWE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",119,0,0,"Canceled","2016-10-03","Denise Martinez","Denise_M@xfinity.com","546-542-6495","************2630"
"City Hotel",1,151,2017,"May",19,13,2,2,2,0,0,"BB","PRT","Groups","Direct",0,0,0,"A","A",0,"Non Refund",NA,NA,0,"Transient",95,0,0,"Canceled","2016-12-13","Paula Jordan","Jordan_Paula85@outlook.com","941-881-3280","************2794"
"City Hotel",1,412,2016,"August",35,25,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",62,0,0,"Canceled","2015-10-21","Michael Velasquez","Velasquez_Michael@att.com","641-385-1571","************6147"
"City Hotel",1,87,2015,"September",39,25,2,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",170,0,0,"Canceled","2015-09-09","Jodi Griffin","JodiGriffin18@comcast.net","853-632-5264","************3348"
"Resort Hotel",0,36,2016,"September",38,12,1,2,2,0,0,"BB","AUT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",151,1,1,"Check-Out","2016-09-15","Rachel Reeves","Reeves_Rachel@xfinity.com","313-002-2191","************4454"
"Resort Hotel",0,225,2017,"May",19,11,2,5,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit",40,NA,0,"Contract",52.85,0,0,"Check-Out","2017-05-18","Austin Munoz","AMunoz@comcast.net","789-429-0332","************1894"
"Resort Hotel",0,13,2015,"September",37,11,1,2,1,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","D",0,"No Deposit",NA,NA,0,"Transient",98,0,2,"Check-Out","2015-09-14","Joseph Brown","JosephBrown@aol.com","737-236-1528","************7746"
"Resort Hotel",0,351,2017,"April",14,8,2,5,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"D","D",0,"No Deposit",298,NA,0,"Transient-Party",82,0,0,"Check-Out","2017-04-15","Samuel Owens","Owens_Samuel64@outlook.com","146-500-3899","************2266"
"City Hotel",1,56,2017,"February",5,1,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",29,NA,0,"Transient",60,0,0,"Canceled","2016-12-07","Mark Osborn","Mark.O@outlook.com","827-015-5954","************2337"
"City Hotel",0,6,2017,"February",8,23,0,1,1,0,0,"BB","FRA","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit",NA,227,0,"Transient",80,0,0,"Check-Out","2017-02-24","Jonathan Schmidt","JSchmidt86@zoho.com","759-718-8784","************7464"
"Resort Hotel",0,125,2016,"June",24,10,2,5,1,0,0,"BB","BEL","Direct","Direct",0,0,0,"E","E",1,"No Deposit",250,NA,0,"Transient",129.9,1,1,"Check-Out","2016-06-17","Haley Coleman","Haley.Coleman@outlook.com","740-905-3656","************7520"
"City Hotel",0,173,2016,"July",30,23,2,2,3,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",130.55,1,2,"Check-Out","2016-07-27","Kimberly Adams","KimberlyAdams@aol.com","245-887-6169","************5497"
"City Hotel",1,7,2016,"June",26,23,0,1,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",8,NA,0,"Transient",91,0,1,"Canceled","2016-06-17","Anthony Brown","Anthony_Brown@hotmail.com","954-298-8481","************7717"
"City Hotel",0,19,2017,"February",8,25,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit",NA,40,0,"Transient",65,1,0,"Check-Out","2017-02-26","Francisco Gonzalez","FranciscoGonzalez@att.com","211-157-1463","************6392"
"City Hotel",1,133,2016,"May",19,4,0,4,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",116.95,0,0,"Canceled","2016-02-07","Katie Lee","Katie_Lee@hotmail.com","602-396-2237","************9257"
"City Hotel",1,143,2017,"May",18,4,0,2,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",56,NA,0,"Transient",110,0,0,"Canceled","2016-12-12","Catherine Hodge","Catherine_Hodge26@yahoo.com","747-541-6919","************5050"
"City Hotel",0,38,2016,"March",10,3,0,3,2,0,0,"BB","POL","Direct","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient-Party",87.71,0,1,"Check-Out","2016-03-06","James Stevens","James.S@mail.com","739-903-8060","************8150"
"City Hotel",0,56,2015,"September",39,25,2,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit",44,NA,0,"Transient-Party",185,0,0,"Check-Out","2015-09-29","Jeremiah Wright","Jeremiah_Wright47@verizon.com","472-356-3711","************6320"
"Resort Hotel",0,1,2016,"January",5,27,0,2,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit",240,NA,0,"Transient",40,0,1,"Check-Out","2016-01-29","Victoria Burgess","VBurgess@att.com","604-465-1699","************9616"
"City Hotel",1,43,2017,"April",16,16,2,0,2,0,0,"SC","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",120,0,0,"Canceled","2017-03-13","Roger Martinez","Martinez.Roger25@yandex.com","736-377-3890","************5652"
"City Hotel",1,93,2017,"March",10,9,0,3,2,1,0,"BB","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",115.2,0,2,"Canceled","2016-12-15","William Lane","Lane.William@gmail.com","401-510-6084","************6302"
"City Hotel",0,3,2016,"May",20,13,2,4,2,0,0,"SC","GBR","Online TA","TA/TO",0,0,0,"A","A",2,"No Deposit",9,NA,0,"Transient",122.33,0,2,"Check-Out","2016-05-19","Jon Hood","Jon_H98@att.com","276-641-8894","************6135"
"City Hotel",0,59,2015,"October",44,29,0,2,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",63,NA,0,"Transient-Party",75,0,0,"Check-Out","2015-10-31","David Abbott","David.A@verizon.com","963-847-3059","************2534"
"City Hotel",1,137,2017,"June",24,16,1,2,2,0,0,"SC","AUS","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",99,0,0,"Canceled","2017-03-07","Alyssa Reed","Alyssa_R@yahoo.com","165-226-6031","************9314"
"Resort Hotel",0,149,2017,"July",27,8,2,5,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",143,NA,0,"Transient",104.85,0,1,"Check-Out","2017-07-15","Alicia Rodriguez","Rodriguez.Alicia@yahoo.com","769-109-7444","************3535"
"City Hotel",0,0,2016,"November",45,1,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"D","D",1,"No Deposit",NA,NA,0,"Transient",160,0,0,"Check-Out","2016-11-02","Kevin Brown","KevinBrown18@mail.com","332-464-2500","************8707"
"City Hotel",0,104,2017,"January",1,2,1,3,3,1,0,"BB","ESP","Direct","Direct",0,0,0,"G","G",2,"No Deposit",14,NA,0,"Transient",188.1,1,0,"Check-Out","2017-01-06","Jonathan Williamson","Williamson.Jonathan46@aol.com","297-861-8606","************2440"
"City Hotel",1,305,2016,"November",45,4,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",21,NA,0,"Transient",89,0,0,"Canceled","2016-02-01","Alejandra Smith","AlejandraSmith16@xfinity.com","560-116-2443","************4210"
"City Hotel",1,73,2017,"March",12,22,0,4,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",100.3,0,0,"Canceled","2017-01-09","Mary Morgan","Morgan_Mary@protonmail.com","617-539-3758","************3269"
"City Hotel",1,12,2016,"December",53,26,1,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",7,NA,0,"Transient",91.63,0,0,"Canceled","2016-12-14","Jonathan Mcclure","Mcclure.Jonathan@att.com","485-404-9530","************6473"
"City Hotel",0,56,2017,"May",18,4,2,3,2,0,0,"SC","BRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",100.8,0,0,"Check-Out","2017-05-09","Nicholas Kennedy","NicholasKennedy@yandex.com","430-646-8755","************3301"
"Resort Hotel",1,80,2015,"August",33,11,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",241,NA,0,"Transient",98.02,0,0,"Canceled","2015-05-23","Eric Smith","Eric_S@zoho.com","319-028-0106","************9969"
"City Hotel",1,461,2016,"October",42,13,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",62,0,0,"Canceled","2015-10-21","Diane Lewis","DianeLewis76@yahoo.com","483-753-7247","************7249"
"Resort Hotel",1,82,2016,"February",7,7,2,0,2,0,0,"BB","PRT","Groups","TA/TO",1,1,0,"A","A",0,"No Deposit",67,NA,0,"Transient-Party",86,0,0,"Canceled","2015-11-17","Kyle Conner","Conner.Kyle@zoho.com","340-482-8370","************6479"
"City Hotel",1,233,2017,"June",25,23,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",20,NA,0,"Transient",105,0,0,"Canceled","2017-04-21","Sheila Hutchinson MD","Sheila.M79@verizon.com","913-715-2264","************2145"
"City Hotel",0,518,2017,"August",34,26,2,1,2,0,0,"BB","AUS","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",229,NA,0,"Transient-Party",112.67,0,1,"Check-Out","2017-08-29","Linda Perkins","Linda_Perkins@att.com","140-024-1591","************5288"
"City Hotel",1,64,2016,"May",21,21,1,1,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",116.1,0,0,"Canceled","2016-05-03","Gary Wagner","Wagner_Gary65@verizon.com","415-362-2913","************9991"
"Resort Hotel",0,386,2016,"October",43,20,1,3,3,0,0,"BB","GBR","Groups","Corporate",0,0,0,"A","A",3,"No Deposit",NA,NA,0,"Transient-Party",79,0,1,"Check-Out","2016-10-24","Joanne Torres","Joanne.Torres56@mail.com","647-364-9082","************9472"
"City Hotel",0,159,2016,"August",33,8,2,5,2,0,0,"HB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient",132.96,1,1,"Check-Out","2016-08-15","Glenn Cole","GCole54@yandex.com","419-394-2935","************9332"
"City Hotel",1,25,2016,"October",41,3,1,1,2,0,0,"SC","CN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",129,0,1,"Canceled","2016-09-13","Donna Roy","Donna_Roy@verizon.com","764-342-7158","************2807"
"City Hotel",0,62,2016,"June",26,20,1,1,2,0,0,"BB","DEU","Direct","Direct",0,0,0,"A","A",1,"No Deposit",14,NA,0,"Transient",102.15,1,0,"Check-Out","2016-06-22","Anthony Carrillo","Carrillo_Anthony@outlook.com","378-276-0384","************6669"
"City Hotel",1,49,2017,"January",2,14,0,1,2,0,0,"SC","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",79.2,0,0,"Canceled","2016-12-27","Matthew Jacobs","Matthew_J@mail.com","373-003-2713","************3419"
"City Hotel",0,0,2015,"September",39,22,0,2,1,0,0,"BB","ESP","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit",NA,62,0,"Transient",147,0,0,"Check-Out","2015-09-24","Timothy Burch","Timothy_B@hotmail.com","922-202-7759","************8074"
"City Hotel",1,17,2015,"September",37,11,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",30,NA,0,"Transient-Party",126,0,0,"Canceled","2015-08-25","Leslie Fox","Leslie_Fox@comcast.net","423-423-7984","************9574"
"City Hotel",1,281,2016,"October",40,1,2,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",1,NA,174,"Transient-Party",96,0,0,"Canceled","2016-09-20","Stephen Gonzalez","Stephen_Gonzalez@protonmail.com","806-448-9707","************6141"
"City Hotel",0,6,2017,"January",2,10,2,6,2,0,0,"BB","ITA","Corporate","Corporate",0,0,0,"A","A",2,"No Deposit",NA,216,0,"Transient",71.86,0,1,"Check-Out","2017-01-18","Matthew Davis","Matthew_D@yandex.com","551-881-3020","************2216"
"City Hotel",1,212,2016,"October",42,9,2,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",75.23,0,0,"Canceled","2016-03-12","Carla Harris","Carla.H@outlook.com","332-015-6413","************2542"
"City Hotel",0,61,2015,"October",41,4,2,0,1,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"No Deposit",12,NA,0,"Transient-Party",73,0,0,"Check-Out","2015-10-06","Joyce Kemp","Joyce_Kemp@xfinity.com","202-092-0627","************8661"
"Resort Hotel",1,108,2016,"April",18,29,2,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,NA,0,"Transient",84,0,0,"Canceled","2016-02-12","Lauren Armstrong","Lauren.A21@verizon.com","864-527-1449","************1311"
"City Hotel",0,26,2016,"August",36,31,0,2,2,0,0,"SC","CHE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",110,0,1,"Check-Out","2016-09-02","Jerry Anderson","Jerry.Anderson26@verizon.com","224-190-8192","************5921"
"City Hotel",0,31,2016,"April",17,17,2,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",96.75,0,1,"Check-Out","2016-04-21","Ashley Day","Ashley_Day@verizon.com","779-233-7430","************2655"
"City Hotel",0,69,2015,"October",44,25,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",37,NA,58,"Transient-Party",85.67,0,0,"Check-Out","2015-10-28","Anthony Davis","Anthony_D@protonmail.com","790-946-2758","************8693"
"City Hotel",1,75,2016,"November",46,11,0,2,2,0,0,"BB","ESP","Direct","Direct",0,0,0,"A","B",1,"No Deposit",14,NA,0,"Transient",79.2,0,0,"Canceled","2016-10-20","Frank Butler","Butler_Frank@gmail.com","867-476-6404","************8190"
"City Hotel",1,47,2016,"September",37,9,0,2,2,0,0,"SC","NLD","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",125.1,0,1,"Canceled","2016-08-03","David Hunter","DHunter34@xfinity.com","771-060-5238","************6472"
"City Hotel",0,109,2016,"April",18,30,2,1,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",77.03,0,1,"Check-Out","2016-05-03","Brian Lin","Brian.L71@aol.com","566-133-2332","************9540"
"City Hotel",1,12,2016,"June",24,8,0,2,2,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",121,0,1,"Canceled","2016-06-05","Monica Crosby","Crosby.Monica67@protonmail.com","654-788-5698","************5640"
"City Hotel",0,9,2016,"May",21,18,0,1,1,0,0,"SC","PRT","Online TA","TA/TO",1,0,1,"A","A",0,"No Deposit",8,NA,0,"Transient",124,0,1,"Check-Out","2016-05-19","Angela Shepherd","Angela.Shepherd@yandex.com","286-539-0900","************1943"
"City Hotel",0,27,2016,"February",9,21,2,2,1,1,0,"SC","DEU","Online TA","TA/TO",0,0,0,"A","B",0,"No Deposit",11,NA,0,"Transient",57.88,0,0,"Check-Out","2016-02-25","Ethan Vincent","Ethan_V@outlook.com","428-964-3104","************3603"
"City Hotel",1,80,2016,"November",48,20,2,1,2,0,0,"SC","CN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",79.2,0,1,"Canceled","2016-09-02","Judith Smith","JSmith13@mail.com","273-933-4470","************2184"
"City Hotel",0,28,2016,"March",11,9,0,4,3,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","B",0,"No Deposit",9,NA,0,"Transient-Party",120.65,0,3,"Check-Out","2016-03-13","Eric Scott","Scott_Eric@hotmail.com","399-921-5874","************6528"
"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",119,NA,0,"Transient-Party",130,0,1,"Check-Out","2017-05-02","Lori George","Lori_G72@verizon.com","921-588-6825","************6500"
"Resort Hotel",0,114,2017,"May",18,4,2,5,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit",314,NA,0,"Transient",63.2,0,0,"Check-Out","2017-05-11","John Smith","Smith_John@zoho.com","936-097-9119","************8677"
"Resort Hotel",0,261,2016,"October",41,6,0,2,2,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"D","E",0,"No Deposit",251,NA,0,"Transient-Party",87,0,0,"Check-Out","2016-10-08","Heather Moore","Moore_Heather50@mail.com","193-128-8285","************9812"
"City Hotel",0,1,2016,"December",53,29,0,1,2,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",1,"No Deposit",NA,180,0,"Transient",65,0,1,"Check-Out","2016-12-30","Jeffrey Jones","JJones@aol.com","832-032-1374","************6434"
"Resort Hotel",0,1,2016,"March",10,2,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit",NA,118,0,"Transient",40,0,0,"Check-Out","2016-03-03","Heather Henry","HHenry@mail.com","346-672-4048","************2301"
"City Hotel",1,281,2016,"October",40,1,2,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",1,NA,174,"Transient-Party",96,0,0,"Canceled","2016-09-20","Kevin Gutierrez","KGutierrez@att.com","929-126-2959","************9821"
"City Hotel",1,237,2016,"October",43,17,1,3,2,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"A","B",1,"No Deposit",9,NA,0,"Transient",90.95,0,2,"Canceled","2016-09-11","Christina Adams","Christina_A14@xfinity.com","484-675-0779","************9449"
"City Hotel",1,39,2016,"November",46,7,1,3,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",83,NA,0,"Transient",148,0,0,"Canceled","2016-09-29","Kristin Turner","Kristin.Turner@gmail.com","402-126-4972","************7612"
"City Hotel",1,322,2016,"December",50,9,0,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",20,NA,0,"Transient",52,0,0,"Canceled","2016-03-15","Alexandria Garcia","Alexandria.G@comcast.net","201-026-7829","************3483"
"City Hotel",0,0,2017,"April",14,5,0,2,1,0,0,"BB","PRT","Aviation","Corporate",0,0,0,"D","E",1,"No Deposit",NA,153,0,"Transient",110,0,0,"Check-Out","2017-04-07","Todd Trevino","Todd_Trevino88@gmail.com","625-010-0029","************8905"
"City Hotel",0,158,2017,"March",13,27,1,1,2,0,0,"BB","ISR","Groups","TA/TO",0,0,0,"A","D",0,"No Deposit",37,NA,0,"Transient-Party",95,0,1,"Check-Out","2017-03-29","Latasha Willis","Latasha.Willis14@xfinity.com","518-090-1565","************8384"
"City Hotel",1,150,2016,"January",1,2,2,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",21,NA,91,"Transient",101,0,0,"Canceled","2015-11-04","Sarah Villarreal","Sarah_V@gmail.com","506-788-8112","************1628"
"Resort Hotel",1,116,2017,"May",21,27,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",241,NA,0,"Transient",67.41,0,1,"Canceled","2017-02-06","Cassandra Ritter","Ritter.Cassandra@yahoo.com","545-439-1925","************9049"
"City Hotel",1,99,2017,"May",19,10,2,4,2,0,0,"BB","SWE","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",144,0,0,"Canceled","2017-02-12","Matthew Flowers","Flowers.Matthew@xfinity.com","393-334-5130","************1236"
"City Hotel",1,2,2016,"November",47,17,0,3,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",159,0,1,"Canceled","2016-11-17","Jessica White","Jessica.W88@verizon.com","667-052-3383","************2302"
"City Hotel",1,125,2017,"April",16,20,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",33,NA,0,"Transient",85,0,0,"Canceled","2016-12-16","Karen Garcia","Karen.Garcia@yahoo.com","737-629-6609","************7785"
